PM2.5 Est[ug/m3(L)] Station: Portland SE Lafayette  Periodically: 5/31/2018 12:05 AM-6/8/2018 12:00 AM  Type: AVG 5 Mins. [5 Mins.],
,
Date & Time,PM2.5 Est
,ug/m3(L)
5/31/2018 12:05 AM,2.4
5/31/2018 12:10 AM,2.2
5/31/2018 12:15 AM,2.1
5/31/2018 12:20 AM,2.1
5/31/2018 12:25 AM,2.1
5/31/2018 12:30 AM,2.0
5/31/2018 12:35 AM,2.0
5/31/2018 12:40 AM,2.0
5/31/2018 12:45 AM,2.0
5/31/2018 12:50 AM,2.0
5/31/2018 12:55 AM,2.0
5/31/2018 1:00 AM,2.0
5/31/2018 1:05 AM,2.1
5/31/2018 1:10 AM,2.1
5/31/2018 1:15 AM,2.0
5/31/2018 1:20 AM,2.0
5/31/2018 1:25 AM,2.2
5/31/2018 1:30 AM,2.1
5/31/2018 1:35 AM,1.9
5/31/2018 1:40 AM,2.1
5/31/2018 1:45 AM,1.9
5/31/2018 1:50 AM,2.0
5/31/2018 1:55 AM,1.9
5/31/2018 2:00 AM,1.8
5/31/2018 2:05 AM,1.8
5/31/2018 2:10 AM,1.9
5/31/2018 2:15 AM,1.9
5/31/2018 2:20 AM,1.9
5/31/2018 2:25 AM,2.0
5/31/2018 2:30 AM,2.0
5/31/2018 2:35 AM,1.9
5/31/2018 2:40 AM,1.9
5/31/2018 2:45 AM,2.1
5/31/2018 2:50 AM,2.1
5/31/2018 2:55 AM,2.0
5/31/2018 3:00 AM,2.0
5/31/2018 3:05 AM,2.1
5/31/2018 3:10 AM,2.3
5/31/2018 3:15 AM,2.2
5/31/2018 3:20 AM,2.2
5/31/2018 3:25 AM,2.1
5/31/2018 3:30 AM,2.2
5/31/2018 3:35 AM,2.2
5/31/2018 3:40 AM,2.3
5/31/2018 3:45 AM,2.2
5/31/2018 3:50 AM,2.2
5/31/2018 3:55 AM,2.3
5/31/2018 4:00 AM,2.5
5/31/2018 4:05 AM,2.5
5/31/2018 4:10 AM,2.8
5/31/2018 4:15 AM,2.8
5/31/2018 4:20 AM,2.9
5/31/2018 4:25 AM,2.9
5/31/2018 4:30 AM,2.8
5/31/2018 4:35 AM,2.6
5/31/2018 4:40 AM,2.7
5/31/2018 4:45 AM,2.6
5/31/2018 4:50 AM,2.1
5/31/2018 4:55 AM,2.1
5/31/2018 5:00 AM,2.1
5/31/2018 5:05 AM,2.1
5/31/2018 5:10 AM,2.3
5/31/2018 5:15 AM,2.4
5/31/2018 5:20 AM,2.7
5/31/2018 5:25 AM,2.6
5/31/2018 5:30 AM,2.6
5/31/2018 5:35 AM,2.4
